amfi_code,var_95_pct,cvar_pct,scheme_name
100016,-1.4363639988111143,-1.806020763217176,HDFC Top 100 Fund - Regular Plan - Growth
100025,-0.3793246199522682,-0.4993763020560281,HDFC Short Term Debt Fund - Regular - Growth
100033,-1.9033535861558826,-2.3455762770703794,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,-1.328166198628149,-1.7439425687129195,ABSL Frontline Equity Fund - Regular - Growth
101207,-2.6021248221061066,-3.245905898704435,ABSL Small Cap Fund - Regular - Growth
101208,-0.02686575130400159,-0.04220820655857685,ABSL Liquid Fund - Regular - Growth
102885,-1.261262882069356,-1.549040525311211,UTI Nifty 50 Index Fund - Regular - Growth
102886,-1.922028344426503,-2.325086026922121,UTI Mid Cap Fund - Regular - Growth
102887,-1.5231617279157872,-1.941118267915869,UTI Flexi Cap Fund - Regular - Growth
118632,-1.3954045870018117,-1.7618579320162155,Nippon India Large Cap Fund - Regular - Growth
118633,-1.3442525143024242,-1.6630178254004826,Nippon India Large Cap Fund - Direct - Growth
118634,-2.543811145896311,-3.2304072697818538,Nippon India Small Cap Fund - Regular - Growth
118635,-1.2553697284754661,-1.6176960494809123,Nippon India ETF Nifty 50 BeES
118636,-0.38041460689443474,-0.49189184204782943,Nippon India Gilt Securities Fund - Regular - Growth
119092,-1.3749592076363815,-1.732787095643605,Axis Bluechip Fund - Regular - Growth
119093,-1.4225516634796054,-1.7486709749013059,Axis Bluechip Fund - Direct - Growth
119094,-1.848027624393831,-2.426005947837056,Axis Midcap Fund - Regular - Growth
119095,-2.618842440959035,-3.166729360598027,Axis Small Cap Fund - Regular - Growth
119120,-0.3938283121850805,-0.5013693153022243,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,-1.284622862884257,-1.6396806934087629,SBI Bluechip Fund - Regular Plan - Growth
119552,-1.3500970479935082,-1.733569966419981,SBI Bluechip Fund - Direct Plan - Growth
119598,-2.45070519056771,-3.059526410880242,SBI Small Cap Fund - Regular Plan - Growth
119599,-2.685943514961382,-3.238412245049217,SBI Small Cap Fund - Direct Plan - Growth
120503,-1.355001716250348,-1.7450554165524321,ICICI Pru Bluechip Fund - Regular - Growth
120504,-1.3728193295939772,-1.7494143685606605,ICICI Pru Bluechip Fund - Direct - Growth
120505,-1.889178619869274,-2.4342070395519815,ICICI Pru Midcap Fund - Regular - Growth
120506,-1.4388462899080912,-1.940489860249691,ICICI Pru Value Discovery Fund - Regular - Growth
120507,-0.022157351389344715,-0.037258039979649646,ICICI Pru Liquid Fund - Regular - Growth
120841,-1.3141782186804063,-1.6362736618343368,Kotak Bluechip Fund - Regular - Growth
120842,-1.821853045255608,-2.272497526268088,Kotak Emerging Equity Fund - Regular - Growth
120843,-1.4507941385630474,-1.8381077688017156,Kotak Flexicap Fund - Regular - Growth
120844,-0.02847927282355611,-0.0410995919332325,Kotak Liquid Fund - Regular - Growth
125497,-1.459176907114046,-1.8309885328057915,HDFC Top 100 Fund - Direct Plan - Growth
125498,-1.8365320169601018,-2.3093793053167944,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,-1.355977641751056,-1.7622879905822202,Mirae Asset Large Cap Fund - Regular - Growth
148568,-1.4711531333512795,-1.8764769584230885,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,-1.7118192655621134,-2.13283058103281,Mirae Asset Tax Saver Fund - Regular - Growth
149322,-1.447385198379274,-1.8401747612732609,DSP Top 100 Equity Fund - Regular - Growth
149323,-1.7882076201903474,-2.2606642100420333,DSP Midcap Fund - Regular - Growth
149324,-2.3483069386777156,-3.1036252021884407,DSP Small Cap Fund - Regular - Growth
